Node,Time
11240,0.002014
11250,0.001995
11260,0.002021
11270,0.002006
11280,0.002022
11290,0.002033
11300,0.002001
11310,0.002005
11320,0.00201
11330,0.002074
11340,0.002101
11350,0.002014
11360,0.002048
11370,0.00203
11380,0.002021
11390,0.002049
11400,0.002022
11410,0.002027
11420,0.002227
11430,0.002029
11440,0.002061
11450,0.002091
11460,0.002036
11470,0.002037
11480,0.002042
11490,0.002071
11500,0.002074
11510,0.00205
11520,0.002052
11530,0.002256
11540,0.002123
11550,0.002054
11560,0.002058
11570,0.002119
11580,0.002058
11590,0.002133
11600,0.002105
11610,0.0021
11620,0.002064
11630,0.002092
11640,0.002073
11650,0.002098
11660,0.002073
11670,0.002084
11680,0.002101
11690,0.002127
11700,0.002079
11710,0.002094
11720,0.002085
11730,0.002143
11740,0.002097
11750,0.002092
11760,0.002093
11770,0.002126
11780,0.002121
11790,0.002107
11800,0.002127
11810,0.002103
11820,0.002108
11830,0.002133
11840,0.002189
11850,0.002141
11860,0.002116
11870,0.002175
11880,0.002152
11890,0.002122
11900,0.002123
11910,0.002152
11920,0.002154
11930,0.002151
11940,0.002127
11950,0.002182
11960,0.002162
11970,0.002201
11980,0.002183
11990,0.002154
12000,0.002146
12010,0.002177
12020,0.002147
12030,0.002172
12040,0.002147
12050,0.002161
12060,0.002179
12070,0.002171
12080,0.002161
12090,0.00218
12100,0.002191
12110,0.002188
12120,0.002165
12130,0.002173
12140,0.002202
12150,0.002198
12160,0.002198
12170,0.002209
12180,0.002206
12190,0.002182
12200,0.002203
12210,0.002204
12220,0.002189
12230,0.002225
12240,0.002235
12250,0.00224
12260,0.002196
12270,0.002317
12280,0.002199
12290,0.002222
12300,0.002207
12310,0.002222
12320,0.002256
12330,0.002238
12340,0.002214
12350,0.002244
12360,0.002246
12370,0.002217
12380,0.002274
12390,0.002248
12400,0.00242
12410,0.002232
12420,0.002267
12430,0.002227
12440,0.002259
12450,0.002228
12460,0.00229
12470,0.00229
12480,0.002276
12490,0.002243
12500,0.002259
12510,0.002466
12520,0.002244
12530,0.002283
12540,0.002307
12550,0.002301
12560,0.002268
12570,0.002254
12580,0.002267
12590,0.002312
12600,0.002311
12610,0.002266
12620,0.002255
12630,0.002332
12640,0.002294
12650,0.00228
12660,0.002306
12670,0.002307
12680,0.002279
12690,0.002354
12700,0.002296
12710,0.002283
12720,0.002319
12730,0.002318
12740,0.00233
12750,0.002291
